date,hokkaido,tohoku,tepco,chubu,hokuriku,kansai,chugoku,shikoku,kyushu,okinawa
2011-04-01,,,,11.68,,,,,,
2011-05-01,,,,11.83,,,,,,
2011-06-01,,,,12.02,,,,,,
2011-07-01,,,,12.25,,,,,,
2011-08-01,,,,12.46,,,,,,
2011-09-01,,,,12.69,,,,,,
2011-10-01,,,,12.99,,,,,,
2011-11-01,,,,13.2,,,,,,
2011-12-01,,,,13.29,,,,,,
2012-01-01,,,,13.25,,,,,,
2012-02-01,,,,13.29,,,,,,
2012-03-01,,,,13.32,,,,,,
2012-04-01,,,,13.41,,,,,,
2012-05-01,,,,13.35,,,,,,
2012-06-01,,,,13.48,,,,,,
2012-07-01,,,,13.85,,,,,,
2012-08-01,,,,13.9,,,,,,
2012-09-01,,,,13.87,,,,,,
2012-10-01,,,,13.87,,,,,,
2012-11-01,,,,13.83,,,,,,
2012-12-01,,,,13.74,,,,,,
2013-01-01,,,,13.46,,,,,,
2013-02-01,,,,13.24,,,,,,
2013-03-01,,,,13.22,,,,,,
2013-04-01,,,,13.66,,,,,,
2013-05-01,,,,14.12,,,,,,
2013-06-01,,,,14.49,,,,,,
2013-07-01,,,,14.75,,,,,,
2013-08-01,,,,14.89,,,,,,
2013-09-01,,,,14.99,,,,,,
2013-10-01,,,,15.01,,,,,,
2013-11-01,,,,14.84,,,,,,
2013-12-01,,,,14.68,,,,,,
2014-01-01,,,,14.5,,,,,,
2014-02-01,,,,14.52,,,,,,
2014-03-01,,,,14.75,,,,,,
2014-04-01,,,,12.7,,,,,,
2014-05-01,,,,13.4,,,,,,
2014-06-01,13.33,14.59,15.42,13.48,13.81,14.55,14.42,13.73,14.05,14.1
2014-07-01,13.25,14.53,15.33,13.44,13.73,14.46,14.35,13.66,13.99,13.96
2014-08-01,13.2,14.45,15.22,13.35,13.68,14.39,14.26,13.59,13.92,13.84
2014-09-01,13.14,14.35,15.12,13.23,13.62,14.3,14.15,13.52,13.84,13.72
