year,tochigi,gunma,ibaraki,saitama,tokyo,aichi,osaka,nationwide
2000,657,653,650,677,703,681,700,659
2001,658,654,651,678,708,682,703,664
2002,658,654,652,678,708,683,703,663
2003,659,655,653,681,710,685,704,664
2004,660,656,654,682,712,688,704,665
2005,664,660,657,687,714,694,708,668
2006,671,664,664,696,719,701,712,673
2007,682,675,676,722,739,714,731,687
2008,697,690,689,735,766,731,748,703
2009,700,693,692,735,791,732,762,713
2010,704,696,696,750,821,745,779,730
2011,705,697,697,759,837,750,786,737
2012,718,707,713,771,850,758,800,749
2013,733,724,729,785,869,780,819,764
2014,750,737,747,802,888,800,838,780
2015,751,738,747,820,907,820,858,798
2016,771,759,771,845,932,845,883,823
2017,800,783,796,871,958,871,909,848
2018,826,809,822,898,985,898,936,874
2019,845,835,849,926,1013,926,964,901
2020,882,837,851,928,1013,927,964,902
2021,882,865,879,956,1041,955,992,930
2022,913,895,911,987,1072,986,1023,961
2023,954,935,953,1028,1113,1027,1064,1004
2024,1004,985,1005,1078,1163,1077,1114,1055
2025,1038,1017,1036,1078,1163,1140,1114,1055
