date,sppi_total,road_freight,ocean_freight,air_freight,coastal_freight
2000-01-01,105.2,88.3,64.9,84.2,87.9
2000-02-01,105.4,88.4,68.2,86.8,87.9
2000-03-01,106.0,88.4,68.7,85.0,87.9
2000-04-01,105.3,88.4,69.4,89.1,85.6
2000-05-01,105.1,88.4,71.7,90.2,85.6
2000-06-01,105.2,88.4,71.2,89.4,85.6
2000-07-01,105.0,88.4,72.0,90.9,85.6
2000-08-01,103.8,88.4,72.6,91.9,85.3
2000-09-01,104.0,88.4,72.7,88.6,85.1
2000-10-01,104.2,88.4,73.7,90.2,85.4
2000-11-01,104.1,88.3,74.6,92.3,85.8
2000-12-01,103.7,88.1,76.7,96.3,85.7
2001-01-01,103.2,88.1,80.3,102.2,85.8
2001-02-01,103.3,88.1,79.0,97.3,85.1
2001-03-01,103.5,88.1,81.4,98.7,85.0
2001-04-01,102.8,87.7,82.0,101.7,82.5
2001-05-01,102.1,87.2,80.6,99.0,82.5
2001-06-01,102.0,87.2,79.3,93.4,82.8
2001-07-01,102.0,87.1,79.7,92.9,82.7
2001-08-01,101.2,87.1,77.3,92.0,82.7
2001-09-01,101.2,86.9,76.2,92.9,82.7
2001-10-01,101.4,86.8,75.7,99.0,82.7
2001-11-01,101.2,86.8,75.7,100.6,82.7
2001-12-01,101.0,86.7,77.8,103.8,83.1
2002-01-01,100.1,86.8,79.8,105.4,82.8
2002-02-01,100.6,86.7,80.0,103.0,82.6
2002-03-01,100.9,86.7,79.0,101.6,82.4
2002-04-01,100.3,86.5,77.8,99.8,80.6
2002-05-01,100.0,86.4,76.5,94.9,80.8
2002-06-01,100.0,86.3,75.0,97.1,80.3
2002-07-01,99.8,86.2,72.3,93.0,80.5
2002-08-01,99.1,86.2,73.0,94.4,80.5
2002-09-01,99.2,86.1,73.5,97.5,81.2
2002-10-01,99.1,86.0,77.3,96.7,81.3
2002-11-01,99.2,85.8,76.8,95.5,81.9
2002-12-01,99.1,85.8,78.7,94.6,81.9
2003-01-01,98.4,85.8,79.0,92.0,80.8
2003-02-01,98.6,85.8,78.3,91.6,80.8
2003-03-01,99.1,85.7,78.7,94.8,80.8
2003-04-01,98.4,85.5,80.0,98.7,79.4
2003-05-01,98.0,85.5,78.8,90.5,79.3
2003-06-01,98.1,85.4,79.1,91.5,79.2
2003-07-01,98.1,85.5,81.1,93.0,79.2
2003-08-01,97.4,85.5,82.4,89.9,79.2
2003-09-01,97.7,85.5,82.0,90.0,79.6
2003-10-01,97.8,85.3,81.6,85.1,79.5
2003-11-01,98.1,85.2,85.6,85.0,79.6
2003-12-01,97.7,85.1,86.6,86.9,80.1
2004-01-01,96.9,85.1,87.9,86.5,79.8
2004-02-01,97.2,85.2,88.9,85.1,79.8
2004-03-01,98.0,85.2,92.3,86.8,79.9
