year,tepco,chubu,kansai,national
2000,13.5,13.4,13.8,13.65
2001,13.4,13.3,13.6,13.52
2002,13.1,13.0,13.3,13.2
2003,13.0,12.9,13.3,13.14
2004,12.8,12.7,13.1,12.97
2005,13.1,13.0,13.5,13.27
2006,13.5,13.3,13.8,13.65
2007,13.7,13.6,14.1,13.89
2008,14.5,14.3,14.8,14.63
2009,14.0,13.8,14.5,14.16
2010,13.5,13.3,13.9,13.65
2011,14.5,14.2,14.8,14.59
2012,15.8,15.3,15.9,15.73
2013,17.6,17.1,17.8,17.53
2014,18.7,18.1,18.7,18.57
2015,17.9,17.3,17.9,17.78
2016,16.4,15.8,16.5,16.29
2017,15.9,15.3,15.9,15.76
2018,16.1,15.6,16.2,16.01
2019,16.4,15.9,16.5,16.3
2020,15.6,15.2,15.8,15.57
2021,16.2,15.8,16.3,16.14
2022,21.2,20.5,21.2,21.02
2023,24.0,23.1,23.5,23.62
2024,22.2,21.4,21.8,21.95
2025,21.5,20.8,21.2,21.3
