date,copper,zinc,brass
2002-02-01,250.0,146.2,218.86
2002-03-01,250.0,151.3,220.39
2002-04-01,252.3,149.9,221.58
2002-05-01,240.0,141.4,210.42
2002-06-01,245.5,138.1,213.28
2002-07-01,230.4,137.0,202.38
2002-08-01,220.0,132.0,193.6
2002-09-01,220.0,135.0,194.5
2002-10-01,224.0,136.6,197.78
2002-11-01,230.0,135.8,201.74
2002-12-01,235.0,141.5,206.95
2003-01-01,233.6,136.2,204.38
2003-02-01,242.1,137.3,210.66
2003-03-01,240.0,137.6,209.28
2003-04-01,230.0,133.6,201.08
2003-05-01,230.0,133.9,201.17
2003-06-01,240.0,136.6,208.98
2003-07-01,241.8,140.9,211.53
2003-08-01,252.8,140.6,219.14
2003-09-01,247.5,137.1,214.38
2003-10-01,250.4,140.3,217.37
2003-11-01,266.6,142.2,229.28
2003-12-01,274.7,147.3,236.48
2004-01-01,302.6,151.4,257.24
2004-02-01,333.6,158.7,281.13
2004-03-01,373.4,164.4,310.7
2004-04-01,363.3,154.3,300.6
2004-05-01,356.1,158.7,296.88
2004-06-01,346.8,155.6,289.44
2004-07-01,353.8,151.0,292.96
2004-08-01,365.9,151.7,301.64
2004-09-01,361.5,148.9,297.72
2004-10-01,376.0,160.2,311.26
2004-11-01,376.0,158.7,310.81
2004-12-01,372.6,165.5,310.47
2005-01-01,382.1,172.1,319.1
2005-02-01,394.5,182.7,330.96
2005-03-01,408.1,189.5,342.52
2005-04-01,422.5,184.6,351.13
2005-05-01,401.6,176.9,334.19
2005-06-01,435.4,184.3,360.07
2005-07-01,461.0,179.0,376.4
2005-08-01,477.8,188.4,390.98
2005-09-01,482.5,200.2,397.81
2005-10-01,517.0,216.0,426.7
2005-11-01,551.5,234.7,456.46
2005-12-01,586.8,259.6,488.64
2006-01-01,588.4,283.5,496.93
2006-02-01,640.5,307.3,540.54
2006-03-01,642.7,323.8,547.03
2006-04-01,783.5,402.6,669.23
2006-05-01,968.8,435.9,808.93
2006-06-01,885.0,412.8,743.34
2006-07-01,948.5,426.8,791.99
2006-08-01,943.0,431.8,789.64
2006-09-01,943.0,444.5,793.45
2006-10-01,949.0,494.0,812.5
2006-11-01,880.0,557.9,783.37
2006-12-01,836.5,559.8,753.49
