date,export_usa_20ft,export_usa_40ft,export_eu_20ft,export_asia_20ft
2010-01-01,2160.0,2680.0,2400.0,650.0
2010-02-01,,,,
2010-03-01,2150.0,2670.0,2590.0,800.0
2010-04-01,,,,
2010-05-01,2450.0,3030.0,2860.0,800.0
2010-06-01,,,,
2010-07-01,2710.0,3370.0,2680.0,810.0
2010-08-01,,,,
2010-09-01,2860.0,3550.0,2500.0,840.0
2010-10-01,,,,
2010-11-01,2470.0,2940.0,2470.0,840.0
2010-12-01,,,,
2011-01-01,2350.0,2910.0,2370.0,870.0
2011-02-01,,,,
2011-03-01,2370.0,2940.0,2450.0,880.0
2011-04-01,,,,
2011-05-01,2370.0,2960.0,2320.0,850.0
2011-06-01,,,,
2011-07-01,2220.0,2850.0,2440.0,860.0
2011-08-01,,,,
2011-09-01,2140.0,2750.0,2420.0,870.0
2011-10-01,,,,
2011-11-01,2290.0,2940.0,2410.0,860.0
2011-12-01,,,,
2012-01-01,2130.0,2740.0,2070.0,870.0
2012-02-01,,,,
2012-03-01,2110.0,2710.0,2220.0,860.0
2012-04-01,,,,
2012-05-01,2330.0,2980.0,2300.0,880.0
2012-06-01,,,,
2012-07-01,2510.0,3210.0,2180.0,880.0
2012-08-01,,,,
2012-09-01,2910.0,3490.0,2260.0,860.0
2012-10-01,2860.0,3650.0,2270.0,860.0
2012-11-01,2850.0,3630.0,2210.0,850.0
2012-12-01,3070.0,3900.0,2300.0,800.0
2013-01-01,3170.0,4030.0,2110.0,790.0
2013-02-01,2860.0,3630.0,2010.0,790.0
2013-03-01,2410.0,3070.0,2020.0,750.0
2013-04-01,2090.0,2670.0,2000.0,740.0
2013-05-01,2010.0,2570.0,1940.0,720.0
2013-06-01,2040.0,2600.0,1870.0,720.0
2013-07-01,2030.0,2590.0,1890.0,700.0
2013-08-01,2030.0,2610.0,1890.0,720.0
2013-09-01,1990.0,2540.0,1890.0,700.0
2013-10-01,1980.0,2530.0,1850.0,720.0
2013-11-01,2170.0,2760.0,1870.0,690.0
2013-12-01,2090.0,2660.0,1870.0,700.0
2014-01-01,2110.0,2690.0,1870.0,710.0
2014-02-01,2080.0,2650.0,1840.0,720.0
2014-03-01,2030.0,2600.0,1870.0,710.0
2014-04-01,2000.0,2560.0,1880.0,630.0
2014-05-01,2020.0,2580.0,1880.0,610.0
2014-06-01,1940.0,2480.0,1880.0,610.0
2014-07-01,2090.0,2670.0,1980.0,610.0
2014-08-01,2080.0,2660.0,1970.0,600.0
2014-09-01,2090.0,2670.0,1970.0,590.0
2014-10-01,2060.0,2620.0,1880.0,590.0
2014-11-01,2090.0,2670.0,1920.0,570.0
2014-12-01,2190.0,2770.0,1810.0,560.0
2015-01-01,2050.0,2600.0,1860.0,570.0
2015-02-01,2010.0,2550.0,1840.0,570.0
2015-03-01,2070.0,2620.0,1810.0,550.0
2015-04-01,1900.0,2390.0,1760.0,540.0
2015-05-01,1990.0,2380.0,1720.0,530.0
2015-06-01,1930.0,2310.0,1650.0,530.0
2015-07-01,1920.0,2300.0,1650.0,530.0
2015-08-01,1890.0,2280.0,1540.0,530.0
2015-09-01,1790.0,2160.0,1540.0,540.0
2015-10-01,1880.0,2250.0,1380.0,520.0
2015-11-01,1770.0,2110.0,1350.0,520.0
2015-12-01,1720.0,2050.0,1280.0,500.0
2016-01-01,1970.0,2360.0,1290.0,510.0
2016-02-01,1820.0,2180.0,1280.0,520.0
2016-03-01,1720.0,2060.0,1260.0,520.0
2016-04-01,1610.0,1940.0,1240.0,520.0
2016-05-01,1490.0,1790.0,1210.0,520.0
2016-06-01,1530.0,1870.0,1170.0,550.0
2016-07-01,1400.0,1740.0,1240.0,540.0
2016-08-01,1320.0,1690.0,1240.0,550.0
2016-09-01,1740.0,2130.0,1330.0,550.0
2016-10-01,1780.0,2180.0,1220.0,540.0
2016-11-01,1710.0,2080.0,1200.0,520.0
2016-12-01,1650.0,2010.0,1190.0,510.0
2017-01-01,1710.0,2090.0,1240.0,520.0
2017-02-01,1650.0,2010.0,1230.0,520.0
2017-03-01,1610.0,1960.0,1240.0,520.0
2017-04-01,1570.0,1910.0,1240.0,520.0
2017-05-01,1600.0,1920.0,1250.0,520.0
2017-06-01,1580.0,1930.0,1260.0,540.0
2017-07-01,1510.0,1840.0,1260.0,530.0
2017-08-01,1760.0,2150.0,1260.0,540.0
2017-09-01,1600.0,1950.0,1330.0,540.0
2017-10-01,1530.0,1870.0,1360.0,540.0
2017-11-01,1530.0,1870.0,1340.0,580.0
2017-12-01,1470.0,1800.0,1340.0,580.0
2018-01-01,1550.0,1890.0,1400.0,580.0
2018-02-01,1600.0,1960.0,1410.0,600.0
2018-03-01,1500.0,1830.0,1400.0,600.0
2018-04-01,1500.0,1830.0,1410.0,590.0
2018-05-01,1550.0,1880.0,1470.0,590.0
2018-06-01,1540.0,1880.0,1470.0,580.0
2018-07-01,1690.0,2110.0,1490.0,590.0
2018-08-01,1880.0,2360.0,1420.0,580.0
2018-09-01,1790.0,2140.0,1490.0,580.0
2018-10-01,2100.0,2620.0,1390.0,580.0
2018-11-01,1680.0,1970.0,1460.0,570.0
