year,nationwide,hokkaido,ibaraki,tochigi,gunma,saitama,tokyo,aichi,osaka
2002,663.0,637.0,647.0,648.0,644.0,678.0,708.0,681.0,703.0
2003,664.0,637.0,647.0,648.0,644.0,678.0,708.0,681.0,703.0
2004,665.0,638.0,648.0,649.0,645.0,679.0,710.0,683.0,704.0
2005,668.0,641.0,651.0,652.0,649.0,682.0,714.0,688.0,708.0
2006,673.0,644.0,655.0,657.0,654.0,687.0,719.0,694.0,712.0
2007,687.0,654.0,665.0,671.0,664.0,702.0,739.0,714.0,731.0
2008,703.0,667.0,676.0,683.0,675.0,722.0,766.0,731.0,748.0
2009,713.0,678.0,678.0,685.0,676.0,735.0,791.0,732.0,762.0
2010,730.0,691.0,690.0,697.0,688.0,750.0,821.0,745.0,779.0
2011,737.0,705.0,692.0,700.0,690.0,759.0,837.0,750.0,786.0
2012,749.0,719.0,699.0,705.0,696.0,771.0,850.0,758.0,800.0
2013,764.0,734.0,713.0,718.0,707.0,785.0,869.0,780.0,819.0
2014,780.0,748.0,729.0,733.0,721.0,802.0,888.0,800.0,838.0
2015,798.0,764.0,747.0,751.0,737.0,820.0,907.0,820.0,858.0
2016,823.0,786.0,771.0,775.0,759.0,845.0,932.0,845.0,883.0
2017,848.0,810.0,796.0,800.0,783.0,871.0,958.0,871.0,909.0
2018,874.0,835.0,822.0,826.0,809.0,898.0,985.0,898.0,936.0
2019,901.0,861.0,849.0,853.0,835.0,926.0,1013.0,926.0,964.0
2020,902.0,861.0,851.0,854.0,837.0,928.0,1013.0,927.0,964.0
2021,930.0,889.0,879.0,882.0,865.0,956.0,1041.0,955.0,992.0
2022,961.0,920.0,911.0,913.0,895.0,987.0,1072.0,986.0,1023.0
2023,1004.0,960.0,953.0,954.0,935.0,1028.0,1113.0,1027.0,1064.0
2024,1055.0,1010.0,1005.0,1004.0,985.0,1078.0,1163.0,1077.0,1114.0
2025,1121.0,1075.0,1074.0,1068.0,1063.0,1141.0,1226.0,1140.0,1177.0
