date,usd_jpy,aluminum,copper,nickel,lead,tin,zinc,iron_ore
2000-01-01,107.1999969482422,180.13,197.67,890.78,50.61,635.46,126.37,28.79
2000-02-01,110.19000244140624,184.05,198.43,1063.7,49.85,621.7,120.65,28.79
2000-03-01,102.95999908447266,162.37,179.09,1058.44,45.44,561.94,114.94,28.79
2000-04-01,108.11000061035156,157.53,181.49,1051.64,45.53,582.11,121.9,28.79
2000-05-01,107.62999725341795,157.87,192.19,1090.32,44.35,586.71,124.52,28.79
2000-06-01,106.01000213623048,159.68,185.85,891.64,44.48,578.48,118.51,28.79
2000-07-01,109.33000183105467,170.94,196.72,892.61,49.43,584.24,124.22,28.79
2000-08-01,106.66999816894533,162.95,197.96,854.08,50.47,565.86,124.78,28.79
2000-09-01,108.12999725341795,173.14,211.98,934.02,52.67,591.94,132.39,28.79
2000-10-01,108.79000091552734,163.21,206.55,835.3,52.88,574.66,119.22,28.79
2000-11-01,110.37000274658205,162.67,198.13,810.09,51.65,581.59,116.88,28.79
2000-12-01,114.61000061035156,179.41,212.09,838.3,52.98,599.83,121.46,28.79
2001-01-01,116.68000030517578,188.51,208.57,816.15,55.78,603.29,120.54,30.03
2001-02-01,117.38999938964844,188.34,207.27,765.87,58.91,601.25,119.84,30.03
2001-03-01,126.11000061035156,190.32,219.28,773.5,62.85,636.4,126.7,30.03
2001-04-01,123.37999725341795,184.69,205.32,780.98,58.91,610.63,119.6,30.03
2001-05-01,119.2300033569336,183.47,200.57,841.86,55.64,589.59,111.84,30.03
2001-06-01,124.7300033569336,182.87,200.62,828.36,55.39,602.23,111.62,30.03
2001-07-01,125.01000213623048,177.06,190.67,742.19,57.7,543.91,106.56,30.03
2001-08-01,118.75,163.53,173.9,655.6,57.36,462.61,98.34,30.03
2001-09-01,119.47000122070312,160.63,170.4,600.58,55.53,441.38,95.41,30.03
2001-10-01,122.4000015258789,156.98,168.58,590.62,57.3,459.09,93.21,30.03
2001-11-01,123.4499969482422,163.87,176.25,626.93,60.06,498.96,95.41,30.03
2001-12-01,131.6699981689453,177.05,193.78,693.09,63.64,529.12,99.37,30.03
2002-01-01,134.8699951171875,184.58,202.84,815.04,69.2,520.85,106.98,29.31
2002-02-01,133.4600067138672,182.75,208.45,804.66,64.06,497.91,102.94,29.31
