date,sppi_total,road_freight
2000-01-01,105.2,88.3
2000-02-01,105.4,88.4
2000-03-01,106.0,88.4
2000-04-01,105.3,88.4
2000-05-01,105.1,88.4
2000-06-01,105.2,88.4
2000-07-01,105.0,88.4
2000-08-01,103.8,88.4
2000-09-01,104.0,88.4
2000-10-01,104.2,88.4
2000-11-01,104.1,88.3
2000-12-01,103.7,88.1
2001-01-01,103.2,88.1
2001-02-01,103.3,88.1
2001-03-01,103.5,88.1
2001-04-01,102.8,87.7
2001-05-01,102.1,87.2
2001-06-01,102.0,87.2
2001-07-01,102.0,87.1
2001-08-01,101.2,87.1
2001-09-01,101.2,86.9
2001-10-01,101.4,86.8
2001-11-01,101.2,86.8
2001-12-01,101.0,86.7
2002-01-01,100.1,86.8
2002-02-01,100.6,86.7
2002-03-01,100.9,86.7
2002-04-01,100.3,86.5
2002-05-01,100.0,86.4
2002-06-01,100.0,86.3
2002-07-01,99.8,86.2
2002-08-01,99.1,86.2
2002-09-01,99.2,86.1
2002-10-01,99.1,86.0
2002-11-01,99.2,85.8
2002-12-01,99.1,85.8
2003-01-01,98.4,85.8
2003-02-01,98.6,85.8
2003-03-01,99.1,85.7
2003-04-01,98.4,85.5
2003-05-01,98.0,85.5
2003-06-01,98.1,85.4
2003-07-01,98.1,85.5
2003-08-01,97.4,85.5
2003-09-01,97.7,85.5
2003-10-01,97.8,85.3
2003-11-01,98.1,85.2
2003-12-01,97.7,85.1
2004-01-01,96.9,85.1
2004-02-01,97.2,85.2
2004-03-01,98.0,85.2
2004-04-01,97.3,85.1
2004-05-01,97.1,85.2
2004-06-01,97.3,85.2
2004-07-01,97.2,85.3
2004-08-01,96.6,85.3
2004-09-01,96.8,85.3
2004-10-01,97.1,85.1
2004-11-01,97.2,85.1
2004-12-01,96.8,85.2
2005-01-01,96.6,85.2
2005-02-01,96.7,85.1
2005-03-01,97.2,85.1
2005-04-01,96.5,85.1
2005-05-01,96.4,85.1
2005-06-01,96.5,85.1
2005-07-01,96.4,85.1
2005-08-01,96.0,85.1
2005-09-01,96.3,85.1
2005-10-01,96.4,85.1
2005-11-01,96.3,85.1
2005-12-01,96.3,85.2
2006-01-01,95.8,85.2
2006-02-01,96.1,85.2
2006-03-01,96.4,85.2
2006-04-01,96.3,85.2
2006-05-01,96.2,85.3
2006-06-01,96.3,85.3
2006-07-01,96.3,85.2
2006-08-01,96.0,85.2
2006-09-01,96.2,85.3
2006-10-01,96.2,85.2
2006-11-01,96.3,85.2
2006-12-01,96.2,85.4
2007-01-01,95.9,85.5
2007-02-01,96.0,85.6
2007-03-01,96.3,85.6
2007-04-01,96.2,86.0
2007-05-01,96.1,86.0
2007-06-01,96.3,86.0
2007-07-01,96.3,86.0
2007-08-01,96.0,86.0
2007-09-01,96.2,86.0
2007-10-01,96.2,86.1
2007-11-01,96.3,86.1
2007-12-01,96.4,86.1
2008-01-01,96.2,86.1
2008-02-01,96.3,86.3
2008-03-01,96.4,86.3
2008-04-01,96.4,86.1
2008-05-01,96.3,86.2
2008-06-01,96.6,86.2
2008-07-01,96.6,86.3
2008-08-01,96.5,86.4
2008-09-01,96.3,86.5
2008-10-01,96.3,86.6
2008-11-01,96.2,86.6
2008-12-01,95.8,86.6
2009-01-01,95.3,86.7
2009-02-01,95.5,86.5
2009-03-01,95.7,86.5
2009-04-01,95.1,86.3
2009-05-01,94.7,86.2
2009-06-01,94.9,86.1
2009-07-01,94.8,86.0
2009-08-01,94.4,86.0
2009-09-01,94.4,86.0
2009-10-01,94.4,85.9
2009-11-01,94.3,85.6
2009-12-01,94.2,85.6
2010-01-01,93.7,85.5
2010-02-01,93.8,85.6
2010-03-01,94.0,85.6
2010-04-01,93.5,85.5
2010-05-01,93.4,85.5
2010-06-01,93.6,85.5
2010-07-01,93.5,85.5
2010-08-01,93.0,85.5
2010-09-01,93.1,85.5
2010-10-01,93.1,85.4
2010-11-01,93.1,85.4
2010-12-01,93.0,85.3
2011-01-01,92.7,85.3
2011-02-01,92.8,85.6
2011-03-01,93.1,85.7
2011-04-01,92.7,85.8
2011-05-01,92.5,85.8
2011-06-01,92.8,85.8
2011-07-01,92.8,85.8
2011-08-01,92.5,85.8
2011-09-01,92.8,85.8
2011-10-01,92.8,85.8
2011-11-01,92.8,85.8
2011-12-01,92.7,85.8
2012-01-01,92.3,85.8
2012-02-01,92.4,85.8
2012-03-01,92.9,85.8
2012-04-01,92.8,86.0
2012-05-01,92.5,86.1
2012-06-01,92.5,86.1
2012-07-01,92.5,86.0
2012-08-01,92.1,86.0
2012-09-01,92.3,86.0
2012-10-01,92.2,86.0
2012-11-01,92.4,86.0
2012-12-01,92.5,86.0
2013-01-01,92.0,86.0
2013-02-01,92.3,86.0
2013-03-01,92.8,86.0
2013-04-01,92.5,86.1
2013-05-01,92.4,86.0
2013-06-01,92.5,86.0
2013-07-01,92.6,86.1
2013-08-01,92.3,86.1
2013-09-01,92.4,86.1
2013-10-01,92.4,86.4
2013-11-01,92.8,86.4
2013-12-01,92.8,86.6
2014-01-01,92.4,86.7
2014-02-01,92.7,86.7
2014-03-01,93.2,86.7
2014-04-01,95.4,89.3
2014-05-01,95.6,89.5
2014-06-01,95.7,89.5
2014-07-01,95.8,89.5
2014-08-01,95.5,89.5
2014-09-01,95.6,89.7
2014-10-01,95.7,89.8
2014-11-01,96.0,89.9
2014-12-01,96.0,90.0
2015-01-01,95.6,90.3
2015-02-01,95.7,90.3
2015-03-01,96.3,90.3
2015-04-01,96.0,90.6
2015-05-01,96.1,90.4
2015-06-01,96.0,90.4
2015-07-01,96.2,90.5
2015-08-01,96.1,90.6
2015-09-01,95.9,90.6
2015-10-01,95.9,90.6
2015-11-01,96.2,90.6
2015-12-01,96.2,90.7
